State,salary,sector
Florida,24967.2,Customer Support/Client Care
Colorado,147722.6,IT/Software Development
California,35370.2,Administrative/Clerical
Minnesota,37450.8,Accounting/Finance/Insurance
Minnesota,35370.2,Business/Strategic Management
Nevada,39531.4,Experienced (Non-Manager)
California,83224,Experienced (Non-Manager)
California,20806,Accounting/Finance/Insurance
Massachusetts,40571.7,Accounting/Finance/Insurance
Michigan,34329.9,Accounting/Finance/Insurance
Michigan,47853.8,Accounting/Finance/Insurance
New jersey,27047.8,Experienced (Non-Manager)
Florida,24655.11,Security/Protective Services
Delaware,29128.4,Experienced (Non-Manager)
New York,64352.958,Security/Protective Services
Virginia,33289.6,Security/Protective Services
Maryland,44732.9,Security/Protective Services
Florida,12743.675,Experienced (Non-Manager)
Texas,124836,IT/Software Development
Ohio,22886.6,Entry Level
Florida,24967.2,Security/Protective Services
Florida,27047.8,Security/Protective Services
Texas,28088.1,Experienced (Non-Manager)
Texas,27047.8,Administrative/Clerical
Delaware,29128.4,Experienced (Non-Manager)
Texas,124836,IT/Software Development
New York,56009.752,Security/Protective Services
Washington,38387.07,Experienced (Non-Manager)
Colorado,35370.2,Customer Support/Client Care
Indiana,21326.15,Entry Level
Iowa,40571.7,Security/Protective Services
Texas,30168.7,Administrative/Clerical
Texas,88425.5,IT/Software Development
Ohio,62418,IT/Software Development
Texas,228866,IT/Software Development
California,67619.5,IT/Software Development
Iowa,41612,Experienced (Non-Manager)
Texas,20806,IT/Software Development
Texas,182052.5,IT/Software Development
Tennessee,62418,IT/Software Development
South carolina,62418,IT/Software Development
Texas,135239,IT/Software Development
Wisconsin,62418,IT/Software Development
North Carolina,60337.4,Biotech/R&D/Science
Florida,22886.6,Sales/Retail/Business Development
California,39531.4,Experienced (Non-Manager)
Kentucky,47853.8,Biotech/R&D/Science
Iowa,41445.552,Entry Level
Pennsylvania,60337.4,Medical/Health
Texas,49934.4,Human Resources
Texas,28608.25,Customer Support/Client Care
Ohio,15604.5,Marketing/Product
California,161246.5,Experienced (Non-Manager)
North Carolina,78022.5,Project/Program Management
Tennessee,38491.1,Legal
California,20806,Accounting/Finance/Insurance
Tennessee,32769.45,Experienced (Non-Manager)
Colorado,45773.2,Human Resources
California,57216.5,Human Resources
California,30168.7,Accounting/Finance/Insurance
California,41612,Accounting/Finance/Insurance
California,21846.3,Accounting/Finance/Insurance
Oklahoma,39531.4,Experienced (Non-Manager)
North Carolina,92586.7,IT/Software Development
South carolina,43692.6,Medical/Health
North Carolina,35370.2,Entry Level
Ohio,28608.25,Experienced (Non-Manager)
South carolina,43692.6,Medical/Health
Tennessee,36410.5,Entry Level
Florida,109231.5,IT/Software Development
California,140440.5,Experienced (Non-Manager)
Missouri,29128.4,Experienced (Non-Manager)
New jersey,178411.45,Experienced (Non-Manager)
Illinois,32207.688,Medical/Health
South carolina,92586.7,IT/Software Development
Texas,39531.4,Experienced (Non-Manager)
Ohio,47853.8,Experienced (Non-Manager)
California,119634.5,Experienced (Non-Manager)
New hampshire,85304.6,Experienced (Non-Manager)
Kentucky,39531.4,Experienced (Non-Manager)
Florida,65538.9,IT/Software Development
Florida,104030,IT/Software Development
Florida,67619.5,Entry Level
Virginia,40571.7,Experienced (Non-Manager)
Tennessee,98828.5,IT/Software Development
Tennessee,41653.612,Legal
Florida,26007.5,Experienced (Non-Manager)
Missouri,24967.2,Experienced (Non-Manager)
Texas,29128.4,Medical/Health
Ohio,47853.8,Medical/Health
Ohio,93627,Systems Analysis - ITWeb/UI/UX Design
Ohio,62418,Experienced (Non-Manager)
Florida,62418,Quality Assurance/Safety
New jersey,33809.75,Experienced (Non-Manager)
Ohio,33289.6,Experienced (Non-Manager)
Ohio,21180.508,Entry Level
Ohio,18725.4,Medical/Health
Ohio,26007.5,Entry Level
Ohio,31209,Experienced (Non-Manager)
Ohio,47198.411,Installation/Maintenance/Repair
Ohio,43692.6,Engineering
Ohio,135239,IT/Software Development
Ohio,20806,Entry Level
Ohio,46813.5,Experienced (Non-Manager)
Ohio,45273.856,Entry Level
Ohio,28088.1,Entry Level
Ohio,223664.5,Experienced (Non-Manager)
Ohio,23926.9,Student (High School)
Ohio,36088.007,Experienced (Non-Manager)
Ohio,33289.6,Entry Level
Ohio,23926.9,Entry Level
Ohio,24967.2,Student (High School)
Ohio,26007.5,Entry Level
Ohio,23926.9,Medical/Health
Ohio,23926.9,Entry Level
Ohio,32249.3,Experienced (Non-Manager)
California,34329.9,Experienced (Non-Manager)
California,72821,Experienced (Non-Manager)
Connecticut,67328.216,Legal
Ohio,26007.5,Experienced (Non-Manager)
Oklahoma,75941.9,Experienced (Non-Manager)
Michigan,28088.1,Experienced (Non-Manager)
Florida,24967.2,Experienced (Non-Manager)
Florida,39531.4,Experienced (Non-Manager)
New jersey,62938.15,Experienced (Non-Manager)
Colorado,36410.5,Experienced (Non-Manager)
New York,39531.4,Experienced (Non-Manager)
Kentucky,31209,Experienced (Non-Manager)
Florida,24967.2,Experienced (Non-Manager)
New York,31209,Entry Level
Washington,15604.5,Experienced (Non-Manager)
New York,43692.6,Entry Level
Indiana,28088.1,Experienced (Non-Manager)
California,35370.2,Experienced (Non-Manager)
Colorado,67619.5,Experienced (Non-Manager)
Texas,114433,IT/Software Development
Texas,124836,Experienced (Non-Manager)
Texas,41612,Experienced (Non-Manager)
Illinois,44732.9,Manufacturing/Production/Operations
Florida,29128.4,Entry Level
Indiana,19037.49,Food Services/Hospitality
New jersey,65538.9,Food Services/Hospitality
Indiana,30668.044,Legal
New jersey,45773.2,Experienced (Non-Manager)
Massachusetts,36410.5,Installation/Maintenance/Repair
New York,31209,Experienced (Non-Manager)
Massachusetts,228866,Accounting/Finance/Insurance
Georgia,52015,IT/Software Development
Florida,14564.2,Accounting/Finance/Insurance
Georgia,45773.2,Marketing/Product
Georgia,68659.8,Medical/Health
Nevada,31209,Sales/Retail/Business Development
Wisconsin,56550.708,Experienced (Non-Manager)
Nevada,33289.6,Experienced (Non-Manager)
Wisconsin,31812.374,Administrative/Clerical
Nevada,78022.5,Medical/Health
Wisconsin,36410.5,Accounting/Finance/Insurance
Wisconsin,24967.2,Entry Level
Nevada,40571.7,Experienced (Non-Manager)
Wisconsin,22886.6,Experienced (Non-Manager)
Wisconsin,59193.07,General/Other: Medical/HealthVeterinary/Animal Care
Tennessee,27047.8,Accounting/Finance/Insurance
Nevada,22366.45,Customer Support/Client Care
Nevada,52015,Human Resources
Wisconsin,42485.852,Veterinary/Animal Care
Wisconsin,31604.314,Banking/Real Estate/Mortgage Professionals
Wisconsin,31812.374,Administrative/Clerical
Nevada,31209,Customer Support/Client Care
Ohio,23042.645,Experienced (Non-Manager)
Texas,69700.1,Entry Level
Texas,68659.8,Experienced (Non-Manager)
Texas,102989.7,Medical/Health
Maryland,72821,Experienced (Non-Manager)
Missouri,29128.4,Experienced (Non-Manager)
Ohio,23042.645,Experienced (Non-Manager)
Colorado,26007.5,Entry Level
Pennsylvania,21846.3,Security/Protective Services
California,21846.3,Accounting/Finance/Insurance
California,18725.4,Manufacturing/Production/Operations
Washington,25945.082,Career Level Entry Level
South dakota,33289.6,Experienced (Non-Manager)
Washington,32249.3,Career Level Experienced (Non-Manager)
Colorado,28088.1,Logistics/Transportation
California,75941.9,Experienced (Non-Manager)
Texas,31209,Customer Support/Client Care
Georgia,32249.3,Human Resources
Minnesota,43692.6,Experienced (Non-Manager)
California,37450.8,Experienced (Non-Manager)
Florida,23406.75,Entry Level
Pennsylvania,33289.6,Experienced (Non-Manager)
Idaho,36410.5,Installation/Maintenance/Repair
Alabama,34329.9,Entry Level
New jersey,29128.4,Entry Level
Colorado,8842.55,Entry Level
New jersey,27047.8,Manufacturing/Production/Operations
Washington,26007.5,Installation/Maintenance/Repair
Florida,35370.2,Experienced (Non-Manager)
Ohio,31729.15,Experienced (Non-Manager)
Illinois,30168.7,Entry Level
Washington,41612,Experienced (Non-Manager)
South carolina,53055.3,Experienced (Non-Manager)
Massachusetts,44732.9,Experienced (Non-Manager)
Colorado,41612,Student (High School)
Minnesota,57216.5,Experienced (Non-Manager)
Florida,34069.825,Experienced (Non-Manager)
New York,56862.798,Installation/Maintenance/Repair
New hampshire,24967.2,Manufacturing/Production/Operations
Mississippi,23614.81,Manufacturing/Production/Operations
California,52015,Experienced (Non-Manager)
Colorado,30168.7,Manufacturing/Production/Operations
Massachusetts,28088.1,Entry Level
Michigan,29128.4,Student (Undergraduate/Graduate)
California,39531.4,Entry Level
Indiana,44732.9,Experienced (Non-Manager)
Illinois,32249.3,Experienced (Non-Manager)
New York,47853.8,Experienced (Non-Manager)
Illinois,44732.9,Student (Undergraduate/Graduate)
Ohio,23406.75,Entry Level
Illinois,28088.1,Experienced (Non-Manager)
Massachusetts,30168.7,Experienced (Non-Manager)
Ohio,36410.5,Entry Level
New jersey,45773.2,Experienced (Non-Manager)
Tennessee,46813.5,Experienced (Non-Manager)
Texas,41612,Experienced (Non-Manager)
California,22886.6,Entry Level
California,22886.6,Manufacturing/Production/Operations
Tennessee,39489.788,Experienced (Non-Manager)
Colorado,36410.5,Manufacturing/Production/Operations
Mississippi,38803.19,Manufacturing/Production/Operations
New jersey,35370.2,Experienced (Non-Manager)
Pennsylvania,23406.75,Experienced (Non-Manager)
Illinois,35370.2,Entry Level
Ohio,47198.411,Installation/Maintenance/Repair
Nebraska,12483.6,Entry Level
Idaho,45637.961,Experienced (Non-Manager)
Texas,23926.9,Manufacturing/Production/Operations
Ohio,39531.4,Manager (Manager/Supervisor of Staff)
Ohio,34329.9,Experienced (Non-Manager)
Texas,47687.352,Experienced (Non-Manager)
California,30688.85,Installation/Maintenance/Repair
Utah,24218.184,Entry Level
Wisconsin,40571.7,Installation/Maintenance/Repair
Ohio,50974.7,Experienced (Non-Manager)
Minnesota,24967.2,Manufacturing/Production/Operations
Wisconsin,26007.5,Entry Level
Tennessee,45637.961,Experienced (Non-Manager)
Iowa,32041.24,Experienced (Non-Manager)
Texas,41580.791,Experienced (Non-Manager)
Florida,26007.5,Experienced (Non-Manager)
Tennessee,13284.631,Entry Level
Indiana,22886.6,Manufacturing/Production/Operations
California,35370.2,Entry Level
Washington,40571.7,Installation/Maintenance/Repair
New hampshire,26007.5,Entry Level
California,29128.4,Entry Level
Tennessee,49934.4,Experienced (Non-Manager)
Arkansas,46813.5,Experienced (Non-Manager)
California,42652.3,Experienced (Non-Manager)
Mississippi,41924.09,Manufacturing/Production/Operations
Indiana,28348.175,Manufacturing/Production/Operations
Ohio,44732.9,Experienced (Non-Manager)
Arkansas,46813.5,Experienced (Non-Manager)
Colorado,52015,Experienced (Non-Manager)
Illinois,33289.6,Experienced (Non-Manager)
Washington,28088.1,Manufacturing/Production/Operations
Ohio,43692.6,Installation/Maintenance/Repair
Georgia,34475.542,Experienced (Non-Manager)
Massachusetts,36618.56,Experienced (Non-Manager)
South carolina,24967.2,Experienced (Non-Manager)
Virginia,35370.2,Experienced (Non-Manager)
Pennsylvania,20806,Manufacturing/Production/Operations
Pennsylvania,33809.75,Experienced (Non-Manager)
North Carolina,25487.35,Experienced (Non-Manager)
Ohio,20806,Entry Level
California,50974.7,Experienced (Non-Manager)
New York,56862.798,Manufacturing/Production/Operations
Tennessee,27047.8,Student (High School)
Ohio,27047.8,Entry Level
Pennsylvania,26007.5,Entry Level
South carolina,53055.3,Experienced (Non-Manager)
North Carolina,20806,Entry Level
New jersey,41612,Manufacturing/Production/Operations
California,39531.4,Entry Level
Wisconsin,29128.4,Manufacturing/Production/Operations
Massachusetts,46813.5,Entry Level
New hampshire,33289.6,Experienced (Non-Manager)
California,23978.915,Entry Level
New hampshire,32249.3,Experienced (Non-Manager)
California,37450.8,Manufacturing/Production/Operations
Illinois,26007.5,Manufacturing/Production/Operations
Ohio,37450.8,Experienced (Non-Manager)
Ohio,36410.5,Experienced (Non-Manager)
Ohio,33289.6,Manufacturing/Production/Operations
Kentucky,43692.6,Manufacturing/Production/Operations
Iowa,32041.24,Experienced (Non-Manager)
California,46813.5,Experienced (Non-Manager)
Colorado,30688.85,Experienced (Non-Manager)
Ohio,28088.1,Experienced (Non-Manager)
Kansas,48894.1,Manufacturing/Production/Operations
Indiana,20806,Experienced (Non-Manager)
Missouri,30480.79,Manufacturing/Production/Operations
Minnesota,135239,Manufacturing/Production/Operations
Illinois,32249.3,Experienced (Non-Manager)
Ohio,51879.761,Experienced (Non-Manager)
Rhode island,23926.9,Experienced (Non-Manager)
Wisconsin,43172.45,Logistics/Transportation
Wisconsin,75307.317,Experienced (Non-Manager)
Texas,109231.5,Project/Program Management
Texas,28088.1,Entry Level
Texas,30168.7,Experienced (Non-Manager)
Connecticut,83224,Editorial/Writing
California,19765.7,Accounting/Finance/Insurance
California,18725.4,Accounting/Finance/Insurance
California,16644.8,Accounting/Finance/Insurance
California,29128.4,Experienced (Non-Manager)
California,27047.8,Accounting/Finance/Insurance
California,17685.1,Accounting/Finance/Insurance
California,29128.4,Experienced (Non-Manager)
California,22886.6,Accounting/Finance/Insurance
California,20806,Accounting/Finance/Insurance
Missouri,22886.6,Marketing/Product
Pennsylvania,37450.8,Customer Support/Client Care
Wisconsin,43692.6,Customer Support/Client Care
Texas,39531.4,IT/Software Development
Florida,27047.8,Customer Support/Client Care
Tennessee,27047.8,Sales/Retail/Business Development
California,34132.243,Entry Level
Washington,31209,Experienced (Non-Manager)
Colorado,62418,Building Construction/Skilled Trades
Illinois,54095.6,Human Resources
California,64498.6,Accounting/Finance/Insurance
Texas,29128.4,Biotech/R&D/Science
Florida,37450.8,Human Resources
California,55135.9,Human Resources
Texas,68659.8,Experienced (Non-Manager)
South carolina,151883.8,IT/Software Development
Ohio,28608.25,Experienced (Non-Manager)
Missouri,56176.2,IT/Software Development
California,119634.5,Experienced (Non-Manager)
Pennsylvania,41612,Human Resources
North Carolina,88425.5,IT/Software Development
Pennsylvania,40176.386,Legal
Rhode island,46667.858,Legal
New York,45606.752,Legal
Maine,37180.322,Legal
Illinois,24967.2,Logistics/Transportation
Ohio,69700.1,Accounting/Finance/Insurance
Ohio,104030,Database Development/Administration
Ohio,62418,IT/Software Development
Texas,41612,Experienced (Non-Manager)
Tennessee,31209,Quality Assurance/Safety
Michigan,44732.9,Experienced (Non-Manager)
Minnesota,140440.5,Project/Program Management
Iowa,48894.1,Project/Program Management
Arkansas,109231.5,Experienced (Non-Manager)
Ohio,48894.1,Experienced (Non-Manager)
Louisiana,31209,Quality Assurance/Safety
Wisconsin,31209,Quality Assurance/Safety
Colorado,31209,Quality Assurance/Safety
Ohio,33289.6,Experienced (Non-Manager)
Missouri,41612,Experienced (Non-Manager)
Missouri,52015,Manager (Manager/Supervisor of Staff)
Ohio,145642,Experienced (Non-Manager)
Nebraska,37242.74,Quality Assurance/Safety
Rhode island,34329.9,Experienced (Non-Manager)
California,140440.5,Experienced (Non-Manager)
New jersey,31209,Quality Assurance/Safety
Oregon,31209,Quality Assurance/Safety
Massachusetts,109231.5,Experienced (Non-Manager)
California,27047.8,Experienced (Non-Manager)
Illinois,31209,Project/Program Management
Texas,83224,Experienced (Non-Manager)
Massachusetts,48894.1,Experienced (Non-Manager)
California,31209,Quality Assurance/Safety
Arizona,31209,Quality Assurance/Safety
Kansas,88425.5,Experienced (Non-Manager)
Massachusetts,48894.1,Experienced (Non-Manager)
Massachusetts,46813.5,Experienced (Non-Manager)
Ohio,31209,Experienced (Non-Manager)
Illinois,57216.5,Experienced (Non-Manager)
Pennsylvania,33289.6,Project/Program Management
Massachusetts,52015,Experienced (Non-Manager)
Connecticut,46813.5,Experienced (Non-Manager)
California,52015,Quality Assurance/Safety
Massachusetts,66579.2,Experienced (Non-Manager)
Michigan,29128.4,Experienced (Non-Manager)
California,75941.9,Experienced (Non-Manager)
Kentucky,40571.7,Manager (Manager/Supervisor of Staff)
Illinois,35370.2,Student (High School)
California,28088.1,Student (Undergraduate/Graduate)
Kansas,31209,Entry Level
Washington,130037.5,Experienced (Non-Manager)
Connecticut,47853.8,Entry Level
Illinois,33289.6,Experienced (Non-Manager)
Texas,26028.306,Quality Assurance/Safety
California,31209,Quality Assurance/Safety
Tennessee,31209,Entry Level
Massachusetts,46813.5,Experienced (Non-Manager)
Massachusetts,35370.2,Experienced (Non-Manager)
Ohio,31209,Quality Assurance/Safety
Florida,45741.991,Entry Level
California,37450.8,Experienced (Non-Manager)
California,28088.1,Quality Assurance/Safety
Texas,107150.9,Quality Assurance/Safety
California,31209,Entry Level
Ohio,30168.7,Experienced (Non-Manager)
Florida,31209,Experienced (Non-Manager)
North Carolina,28088.1,Accounting/Finance/Insurance
New York,72821,Experienced (Non-Manager)
Louisiana,31323.433,Entry Level
Minnesota,32457.36,Accounting/Finance/Insurance
Massachusetts,52015,Accounting/Finance/Insurance
Georgia,26007.5,Experienced (Non-Manager)
Georgia,63458.3,Medical/Health
Ohio,19765.7,Entry Level
California,22886.6,Logistics/Transportation
Georgia,41612,Engineering
Georgia,18725.4,Entry Level
Minnesota,58256.8,Installation/Maintenance/Repair
Wisconsin,52015,Installation/Maintenance/Repair
Massachusetts,26506.844,Installation/Maintenance/Repair
Kentucky,31209,Installation/Maintenance/Repair
California,59401.13,Installation/Maintenance/Repair
Ohio,22886.6,Entry Level
Florida,15604.5,Manager (Manager/Supervisor of Staff)
Kansas,31209,Entry Level
Louisiana,15604.5,Entry Level
California,46813.5,Food Services/Hospitality
Colorado,24707.125,Student (High School)
California,62418,Entry Level
Delaware,18725.4,Entry Level
Louisiana,31323.433,Entry Level
California,50974.7,Accounting/Finance/Insurance
Washington,22335.241,Career Level Entry Level
Washington,28088.1,Entry Level
Texas,27047.8,Manufacturing/Production/Operations
Maryland,32249.3,Manufacturing/Production/Operations
Florida,17685.1,Entry Level
California,34329.9,Installation/Maintenance/Repair
Pennsylvania,43692.6,Experienced (Non-Manager)
Michigan,17685.1,Entry Level
Pennsylvania,21638.24,Manufacturing/Production/Operations
Pennsylvania,43692.6,Experienced (Non-Manager)
Texas,27047.8,Manufacturing/Production/Operations
Wisconsin,42652.3,Experienced (Non-Manager)
Massachusetts,34329.9,Accounting/Finance/Insurance
Massachusetts,46813.5,Medical/Health
Massachusetts,34329.9,Accounting/Finance/Insurance
Massachusetts,93627,Medical/Health
Massachusetts,34329.9,Accounting/Finance/Insurance
Ohio,30168.7,Accounting/Finance/Insurance
New jersey,40571.7,Accounting/Finance/Insurance
Texas,48894.1,Accounting/Finance/Insurance
Ohio,32249.3,Accounting/Finance/Insurance
Florida,37450.8,Experienced (Non-Manager)
Florida,28088.1,Accounting/Finance/Insurance
Michigan,32249.3,Accounting/Finance/Insurance
Texas,38491.1,Experienced (Non-Manager)
Texas,20806,Installation/Maintenance/Repair
California,57216.5,Installation/Maintenance/Repair
Georgia,27047.8,Sales/Retail/Business Development
Texas,33289.6,Experienced (Non-Manager)
Texas,38491.1,Customer Support/Client Care
Texas,48894.1,Entry Level
Texas,22366.45,Experienced (Non-Manager)
Texas,29128.4,Entry Level
Texas,46813.5,Experienced (Non-Manager)
Texas,52015,Experienced (Non-Manager)
Texas,46813.5,Experienced (Non-Manager)
Texas,24967.2,Experienced (Non-Manager)
Texas,83224,IT/Software Development
Texas,46813.5,Experienced (Non-Manager)
Texas,22886.6,Logistics/Transportation
Texas,27047.8,Customer Support/Client Care
Texas,29128.4,Experienced (Non-Manager)
Texas,29128.4,Experienced (Non-Manager)
Texas,27047.8,Entry Level
Texas,57216.5,Experienced (Non-Manager)
Texas,43172.45,Logistics/Transportation
Texas,33289.6,Manager (Manager/Supervisor of Staff)
Texas,145642,IT/Software Development
Texas,24967.2,Sales/Retail/Business Development
Texas,130037.5,IT/Software Development
Texas,57216.5,Experienced (Non-Manager)
Texas,62418,Systems Analysis - IT
Texas,104030,IT/Software Development
Texas,28088.1,Experienced (Non-Manager)
Texas,21846.3,Entry Level
Texas,36410.5,Experienced (Non-Manager)
Texas,119634.5,Experienced (Non-Manager)
Texas,156045,Experienced (Non-Manager)
Ohio,26007.5,Manager (Manager/Supervisor of Staff)
Ohio,34329.9,Manager (Manager/Supervisor of Staff)
Texas,30168.7,Entry Level
Texas,40571.7,Experienced (Non-Manager)
Texas,43692.6,Experienced (Non-Manager)
Texas,93627,IT/Software Development
Texas,30168.7,Experienced (Non-Manager)
Texas,26007.5,Experienced (Non-Manager)
Texas,28088.1,Medical/Health
Texas,26007.5,Experienced (Non-Manager)
Ohio,26007.5,Experienced (Non-Manager)
Texas,27734.398,Quality Assurance/Safety
Texas,27047.8,Experienced (Non-Manager)
Texas,34329.9,Experienced (Non-Manager)
Ohio,14564.2,Customer Support/Client Care
Texas,27047.8,Entry Level
Texas,46813.5,IT/Software Development
Texas,52015,Logistics/Transportation
Texas,113392.7,Experienced (Non-Manager)
Texas,37450.8,Experienced (Non-Manager)
Texas,29128.4,Experienced (Non-Manager)
California,33289.6,Logistics/Transportation
Washington,32249.3,Career Level Experienced (Non-Manager)
Texas,32249.3,Experienced (Non-Manager)
New York,32249.3,Entry Level
Texas,31729.15,Medical/Health
Ohio,83224,Experienced (Non-Manager)
South carolina,29648.55,Medical/Health
Massachusetts,100909.1,Experienced (Non-Manager)
Oklahoma,33289.6,Entry Level
Florida,24967.2,Student (High School)
Washington,40571.7,Experienced (Non-Manager)
Ohio,46813.5,Experienced (Non-Manager)
California,28941.146,Experienced (Non-Manager)
California,46813.5,Experienced (Non-Manager)
South carolina,41612,Experienced (Non-Manager)
California,114433,Experienced (Non-Manager)
Kansas,24738.334,Entry Level
California,33289.6,Experienced (Non-Manager)
Ohio,19765.7,Experienced (Non-Manager)
Missouri,18205.25,Entry Level
Maryland,33289.6,Medical/Health
South carolina,33289.6,Experienced (Non-Manager)
Iowa,19245.55,Student (Undergraduate/Graduate)
California,60337.4,Experienced (Non-Manager)
New York,46813.5,Manager (Manager/Supervisor of Staff)
Pennsylvania,38491.1,Experienced (Non-Manager)
Wisconsin,14761.857,General/Other: Food Services
Massachusetts,20806,Medical/Health
New York,109231.5,Manager (Manager/Supervisor of Staff)
Texas,102500,Experienced (Non-Manager)
Colorado,42500,Experienced (Non-Manager)
Texas,85000,Building Construction/Skilled Trades
Texas,75000,Building Construction/Skilled Trades
Colorado,77500,Accounting/Finance/Insurance
Colorado,125000,Accounting/Finance/Insurance
Nevada,92500,Accounting/Finance/Insurance
Nevada,75000,Accounting/Finance/Insurance
Nevada,55000,Accounting/Finance/Insurance
Massachusetts,45000,Accounting/Finance/Insurance
New jersey,42500,Sales/Retail/Business Development
Colorado,50000,Building Construction/Skilled Trades
